"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_iz_cfgweapons_ak1010","AK-101","AK-101","AK-101","AK-101","AK-101","AK-101","AK-101","AK-101","AK-101","AK-101","AK-101","AK-101","AK-101","AK-101",
"str_iz_cfgweapons_ak1011","Selective-fire assault rifle fed from a detachable magazine. Export version of modernized AK-74M with compatible attachments. Uses 5.56x45mm rounds.","Selective-fire assault rifle fed from a detachable magazine. Export version of modernized AK-74M with compatible attachments. Uses 5.56x45mm rounds.","Útočná puška s možností volby režimu střelby, munice dodávána odnímatelným zásobníkem. Exportní verze modernizované AK-74M s kompatibilními doplňky. Používá munici 5,56x45 mm.","Sturmgewehr mit selektivem Feuer und abnehmbarem Magazin. Die exportierte Version des modernisierten AK-74M mit kompatiblen Erweiterungen. Nutzt 5.56x45mm-Munition.","Автомат с переводчиком режимов огня и съемным магазином. Экспортная версия модернизированной модели AK-74M с совместимыми приспособлениями. Использует патроны калибра 5,56x45 мм.","Karabin szturmowy z przełącznikiem ognia i magazynkiem zewnętrznym. Eksportowa wersja AK-74M (część akcesoriów jest z nią kompatybilna). Strzela amunicją 5,56x45 mm.","Selective-fire assault rifle fed from a detachable magazine. Export version of modernized AK-74M with compatible attachments. Uses 5.56x45mm rounds.","Fucile d’assalto con selettore di fuoco e alimentazione mediante un caricatore estraibile. Variante per l’esportazione del modernizzato AK-74M con accessori compatibili. Utilizza munizioni calibro 5.56x45 mm.","Fusil de asalto de fuego selectivo, alimentado por un cargador desmontable. Versión exportada de un AK-74M modernizado, con accesorios compatibles. Usa proyectiles de 5,56x45 mm.","Un fusil d'assaut avec sélecteur de tir à chargeur amovible de calibre 5,56x45 mm. Version d'export de la AK-74M modernisée accueillant les accessoires compatibles.","可選射擊模式的突擊步槍，以可拆卸的彈匣供彈。是新式 AK-74M 的輸出版，並可搭載相容的配件。使用 5.56x45mm 子彈。","取り外し可能なマガジンから装填する、セレクティブファイア機能のアサルトライフル。互換性のあるアタッチメントがある近代化した AK-74M の輸出用バージョン。5.56x45mm 弾薬を使う。","Selective-fire assault rifle fed from a detachable magazine. Export version of modernized AK-74M with compatible attachments. Uses 5.56x45mm rounds.","从可拆卸弹匣送弹的选射突击步枪。现代款 AK-74M 的出口型，配备可兼容的附件。使用 5.56x45 毫米子弹。",

"str_iz_cfgweapons_akm0","AKMN","AKMN","AKMN","AKMN","AKMN","AKMN","AKMN","AKMN","AKMN","AKMN","AKMN","AKMN","AKMN","AKMN",
"str_iz_cfgweapons_akm1","Selective-fire assault rifle fed from a detachable magazine. Modernized version of classic AK-47 with lot of attachments available. Uses 7.62x39mm rounds.","Selective-fire assault rifle fed from a detachable magazine. Modernized version of classic AK-47 with lot of attachments available. Uses 7.62x39mm rounds.","Útočná puška s možností volby režimu střelby, munice dodávána odnímatelným zásobníkem. Modernizovaná varianta klasické AK-47 se spoustou dostupných doplňků. Používá munici 7,62x39 mm.","Sturmgewehr mit selektivem Feuer und abnehmbarem Magazin. Modernisierte Variante der klassischen AK-47 mit zahlreicher Erweiterungen. Nutzt 7.62x39mm-Munition.","Автомат с переводчиком режимов огня и съемным магазином. Модернизированный вариант классической версии AK-47 с множеством приспособлений. Использует патроны калибра 7,62x39 мм.","Karabin szturmowy z przełącznikiem ognia i magazynkiem zewnętrznym. Zmodernizowana wersja klasyka AK-47. Dostępnych jest do niej wiele akcesoriów. Strzela amunicją 7,62x39 mm.","Selective-fire assault rifle fed from a detachable magazine. Modernized version of classic AK-47 with lot of attachments available. Uses 7.62x39mm rounds.","Fucile d’assalto con selettore di fuoco e alimentazione mediante un caricatore estraibile. Variante modernizzata del classico AK-47 con molti accessori disponibili. Utilizza munizioni calibro 7.62x39 mm.","Fusil de asalto de fuego selectivo, que se alimenta de un cargador desmontable. Versión moderna del clásico AK-47 con muchos accesorios disponibles. Usa proyectiles de 7,62x39 mm.","Un fusil d'assaut de calibre 7,62x39 mm avec différents modes de tir et chargeur amovible. Variante moderne de la AK-47 accueillant de nombreux accessoires.","可選射擊模式的突擊步槍，以可拆卸的彈匣供彈。是經典 AK-47 的現代版，可加裝自訂配件，配件種類眾多。使用 7.62x39mm 子彈。","取り外し可能なマガジンから装填する、セレクティブファイア機能のアサルトライフル。利用可能なアタッチメントが多数ある従来の AK-74 の近代化型。7.62x39mm 弾薬を使う。","Selective-fire assault rifle fed from a detachable magazine. Modernized version of classic AK-47 with lot of attachments available. Uses 7.62x39mm rounds.","从可拆卸弹匣送弹的选射突击步枪。经典 AK-47 的现代型，有许多附件可供选用。使用 7.62 x39 毫米子弹。",

	"str_iz_cfgweapons_augsteyr0","Steyr AUG","Steyr AUG","Steyr AUG","Steyr AUG","Steyr AUG","Steyr AUG","Steyr AUG","Steyr AUG","Steyr AUG","Steyr AUG","Steyr AUG","Steyr AUG","Steyr AUG","Steyr AUG",
	"str_iz_cfgweapons_augsteyr1","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.","The AUG, a bullpup automatic rifle, is a selective fire weapon with a conventional gas piston operated action that fires from a closed bolt. It can be quickly adapted to a wide variety of roles with the change of the barrel to a desired length and profile, the AUG is a modular configuration rifle that employs a high level of polymer and advanced alloy components.",

"str_iz_cfgweapons_b950","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95","Blaser B95",
"str_iz_cfgweapons_b951","Double-barreled break-action rifle loaded with two .308 WIN rounds.","Double-barreled break-action rifle loaded with two .308 WIN rounds.","Dvojhlavňová zlamovací puška, kterou je možno nabít dvěma náboji ráže .308 WIN.","Doppelläufiges Kipplaufgewehr – geladen mit zwei .308 WIN-Patronen.","Двуствольное ружье с переломным затвором, заряженное двумя патронами калибра .308 WIN.","Sztucer łamany z podwójną lufą, ładowany dwoma nabojami .308 WIN.","Double-barreled break-action rifle loaded with two .308 WIN rounds.","Fucile basculante a doppia canna caricato con due munizioni calibro .308 WIN.","Un fusil de doble cañón basculante que dispara dos proyectiles .308 WIN.","Fusil double canon à chargement entièrement manuel, avec deux balles .308 WIN.","雙管中折式步槍，使用雙發口徑 0.308 WIN 的彈藥。",".308 WIN 弾薬を 2 発装填した二連式の中折式ライフル。","Double-barreled break-action rifle loaded with two .308 WIN rounds.","双管中折式步枪，使用双发口径0.308 WIN的弹药。",

"str_iz_cfgweapons_cz610","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 Skorpion","CZ-61 スコーピオン","CZ-61 Skorpion","CZ-61 Skorpion",
"str_iz_cfgweapons_cz611","Compact selective-fire submachine gun, fed from a detachable magazine. Often used as a sidearm. Uses .380 ACP rounds.","Compact selective-fire submachine gun, fed from a detachable magazine. Often used as a sidearm. Uses .380 ACP rounds.","Kompaktní samopal s možností volby režimu střelby. Munice dodávána odnímatelným zásobníkem. Často je ve výbavě jako záložní zbraň a používá munici .380 ACP","Kompakte Maschinenpistole mit selektivem Feuer und abnehmbarem Magazin. Wird oft als Zweitwaffe geführt. Nutzt .380 ACP-Munition.","Компактный пистолет-пулемет с переводчиком режимов огня и съемным магазином. Часто используется как пистолет. Использует патроны калибра .380 ACP.","Kompaktowy pistolet maszynowy z przełącznikiem ognia i magazynkiem zewnętrznym. Często używany jako broń zapasowa. Strzela amunicją .380 ACP.","Compact selective-fire submachine gun, fed from a detachable magazine. Often used as a sidearm. Uses .380 ACP rounds.","Mitra compatto con selettore di fuoco e alimentazione mediante un caricatore estraibile. Utilizzato spesso come arma da fianco. Utilizza munizioni calibro .380 ACP.","Metralleta de fuego selectivo compacta, alimentada por un cargador desmontable. Se suele utilizar como arma secundaria. Usa proyectiles de .380 ACP.","Un pistolet mitrailleur compact avec différents modes de tir accueillant un chargeur amovible de calibre .380 ACP. Sert souvent d'arme secondaire.","可選射擊模式的精簡機關槍，以可拆卸的彈匣供彈。常被當作配槍使用。使用 .380 ACP 子彈。","取り外し可能なマガジンから装填する、コンパクトなセレクティブファイア機能の短機関銃。頻繁にサイドアームとして使用される。.380 ACP 弾薬を使う。","Compact selective-fire submachine gun, fed from a detachable magazine. Often used as a sidearm. Uses .380 ACP rounds.","从可拆卸弹匣送弹的小型选射冲锋枪。通常用作随身武器。使用 .380 ACP 子弹。",

"str_iz_cfgweapons_fal0","FAL","FAL","FAL","FAL","FAL","FAL","FAL","FAL","FAL","FAL","FAL","FAL","FAL","FAL",
"str_iz_cfgweapons_fal1","Selective-fire battle rifle, fed from a detachable magazine. Open for customization with attachments. Uses .308 WIN rounds.","Selective-fire battle rifle, fed from a detachable magazine. Open for customization with attachments. Uses .308 WIN rounds.","Bojová puška s možností volby režimu střelby. Munice dodávána odnímatelným zásobníkem, dá se upravit pomocí doplňků. Používá munici .308 WIN.","Kampfgewehr mit selektivem Feuer und abnehmbarem Magazin. Kann durch Zubehör erweitert werden. Nutzt .308 WIN-Munition.","Автоматическая винтовка с переводчиком режимов огня и съемным магазином. Можно добавлять различные приспособления. Использует патроны калибра .308 WIN.","Karabin bojowy z przełącznikiem ognia i uniwersalnym magazynkiem zewnętrznym. Można go łatwo rozbudować o akcesoria. Strzela amunicją .308 Win.","Selective-fire battle rifle, fed from a detachable magazine. Open for customization with attachments. Uses .308 WIN rounds.","Fucile da battaglia con selettore di fuoco e alimentazione a caricatore estraibile. Può essere personalizzato con degli accessori. Utilizza munizioni calibro .308 WIN.","Fusil de combate de fuego selectivo, que se alimenta de un cargador desmontable. Permite la personalización con accesorios. Usa proyectiles de .308 WIN.","Un fusil d’assaut avec différents modes de tir, accueillant un chargeur amovible de calibre .308 Win. Personnalisable grâce aux accessoires.","可選射擊模式的戰鬥步槍，以可拆卸的彈匣供彈。可加裝自訂配件。使用 .308 WIN 子彈。","取り外し可能なマガジンから装填する、セレクティブファイア機能のバトルライフル。アタッチメントでカスタマイズが可能。.308 WIN 弾薬を使う。","Selective-fire battle rifle, fed from a detachable magazine. Open for customization with attachments. Uses .308 WIN rounds.","从可拆卸弹匣送弹的选射战斗步枪。可用附件进行定制。使用 .308 WIN 子弹。",

"str_iz_cfgweapons_izh180","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18","IZH-18",
"str_iz_cfgweapons_izh181","Single shot break action hunting rifle. Designed with simplicity, built to last. Uses 7.62x39mm rounds.","Single shot break action hunting rifle. Designed with simplicity, built to last. Uses 7.62x39mm rounds.","Lámací lovecká puška na jednu ránu. Jednoduchá konstrukce, která vydrží věčnost. Používá munici 7,62x39 mm.","Einzelschuss-Jagdgewehr mit Kipplauf. Langlebig und leicht zu bedienen. Nutzt 7,62x39mm-Munition.","Однозарядная охотничья винтовка с переломным затвором. Простая конструкция, сделанная на века. Использует патроны калибра 7,62x39 мм.","Jednostrzałowy, łamany karabin myśliwski. Prostota, która opiera się czasowi. Strzela amunicją 7,62x39 mm.","Single shot break action hunting rifle. Designed with simplicity, built to last. Uses 7.62x39mm rounds.","Fucile da caccia a canna basculante e colpo singolo, dal design semplice e dalla costruzione duratura. Utilizza munizioni calibro 7.62x39 mm.","Escopeta de caza de cañón basculante, de un solo tiro. Diseñada para ser sencilla, pero fabricada para durar. Usa proyectiles de 7,62x39 mm.","Un fusil de calibre 7,62x39 mm à tir unique et à chargement entièrement manuel. De conception simple, il est très résistant.","單發中折式狩獵步槍。極簡設計，但能長久流傳。使用 7.62x39mm 子彈。","単発中折式狩猟用ライフル。シンプルなデザインで長持ちするように作られている。7.62x39mm 弾薬を使う。","Single shot break action hunting rifle. Designed with simplicity, built to last. Uses 7.62x39mm rounds.","单发折开式猎枪。设计简单，经久耐用。使用 7.62x39mm 子弹。",

"str_iz_cfgweapons_sawedoffizh180","Sawed-off IZH-18","Sawed-off IZH-18","Upilovaná IZH-18","Abgesägtes IZH-18","Обрез IZH-18","IZH-18 ze skróconą lufą","Sawed-off IZH-18","IZH-18 a canne mozze","IZH-18 recortada","IZH-18 à canon scié","短管式 IZH-18","ソードオフ IZH-18","Sawed-off IZH-18","短管 IZH-18",
"str_iz_cfgweapons_sawedoffizh181","Sawed-off single shot break action hunting rifle, designed with simplicity, built to last. Uses 7.62x39mm rounds.","Sawed-off single shot break action hunting rifle, designed with simplicity, built to last. Uses 7.62x39mm rounds.","Upilovaná lámací lovecká puška na jednu ránu. Jednoduchá konstrukce, která vydrží věčnost. Používá munici 7,62x39 mm.","Abgesägtes Einzelschuss-Jagdgewehr mit Kipplauf. Langlebig und leicht zu bedienen. Nutzt 7,62x39mm-Munition.","Обрез однозарядной охотничьей винтовки с переломным затвором. Простая конструкция, сделанная на века. Использует патроны калибра 7,62x39 мм.","Jednostrzałowy, łamany karabin myśliwski ze skróconą lufą. Prostota, która przetrwa wieki. Strzela amunicją 7,62x39 mm.","Sawed-off single shot break action hunting rifle, designed with simplicity, built to last. Uses 7.62x39mm rounds.","Fucile da caccia a canne mozze, a canna basculante e colpo singolo, dal design semplice e dalla costruzione duratura. Utilizza munizioni calibro 7.62x39 mm.","Escopeta de caza de cañón basculante recortado, de un solo tiro. Diseñada para ser sencilla, pero fabricada para durar. Usa proyectiles de 7,62x39 mm.","Un fusil à canon scié à tir unique et à chargement entièrement manuel, de calibre 7,62x39 mm. De conception simple, il est très résistant.","短管單發中折式狩獵步槍，極簡設計，但能長久流傳。使用 7.62x39mm 子彈。","ソードオフ単発中折式狩猟用ライフル。シンプルなデザインで長持ちするように作られている。7.62x39mm 弾薬を使う。","Sawed-off single shot break action hunting rifle, designed with simplicity, built to last. Uses 7.62x39mm rounds.","短管单发折开式猎枪，设计简单，经久耐用。使用 7.62x39mm 子弹。",

"str_iz_cfgweapons_m4a10","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1","M4A1",
"str_iz_cfgweapons_m4a11","Selective-fire assault rifle, fed from a standardized detachable magazine. Offers a lot of customization with attachments. Uses 5.56x45mm rounds.","Selective-fire assault rifle, fed from a standardized detachable magazine. Offers a lot of customization with attachments. Uses 5.56x45mm rounds.","Útočná puška s možností volby režimu střelby. Munice dodávána standardizovaným odnímatelným zásobníkem, dá se rozsáhle upravit pomocí doplňků. Používá munici 5,56x45 mm.","Sturmgewehr mit selektivem Feuer und standardisiertem, abnehmbarem Magazin. Bietet zahlreiche Anpassungsmöglichkeiten durch Zubehör. Nutzt 5,56x45mm-Munition.","Автомат с переводчиком режимов огня и стандартным съемным магазином. Можно кастомизировать с помощью различных приспособлений. Использует патроны калибра 5,56x45 мм.","Karabin szturmowy z przełącznikiem ognia i uniwersalnym magazynkiem zewnętrznym. Można go łatwo rozbudować o akcesoria. Strzela amunicją 5,56x45 mm.","Selective-fire assault rifle, fed from a standardized detachable magazine. Offers a lot of customization with attachments. Uses 5.56x45mm rounds.","Fucile d’assalto con selettore di fuoco e caricatore estraibile standard. Molto personalizzabile grazie agli accessori. Usa munizioni calibro 5.56x45 mm.","Fusil de asalto de fuego selectivo, que se alimenta de un cargador estándar desmontable. Ofrece muchas posibilidades de personalización. Usa proyectiles de 5,56x45 mm.","Un fusil d'assaut de calibre 5,56x45 mm avec différents modes de tir et chargeur amovible standardisé. Entièrement personnalisable grâce aux accessoires.","可選射擊模式的突擊步槍，以可拆卸的標準彈匣供彈。可加裝自訂配件，配件種類眾多。使用 5.56x45mm 子彈。","標準化された取り外し可能なマガジンから装填する、セレクティブファイア機能のアサルトライフル。アタッチメントでかなりカスタマイズが可能。 5.56x45mm 弾薬を使う。","Selective-fire assault rifle, fed from a standardized detachable magazine. Offers a lot of customization with attachments. Uses 5.56x45mm rounds.","从标准化可拆卸弹匣送弹的选射突击步枪。附件可进行多种定制。使用 5.56x45mm 子弹。",

	"str_iz_cfgweapons_m2490","M249 LMG","M249 LMG","M249 LMG","M249 LMG","M249 LMG","M249 LMG","M249 LMG","M249 LMG","M249 LMG","M249 LMG","M249 LMG","M249 LMG","M249 LMG","M249 LMG",
	"str_iz_cfgweapons_m2491","The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.","The M249 SAW is an american variant of FN Minimi light machine gun. The M249 is widely used in various branches of U.S. Armed Forces. The weapon has only a fully automatic mode of fire. This weapon is belt-fed, with belts stored in ammo boxes.",

