"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_iz_cfgmagazines_mag_Deagle_9rnd0","9rd Desert Eagle Mag","9rd Desert Eagle Mag","Zásobník Desert Eagle, 9 ran","9-Schuss-Desert Eagle-Magazin","Магазин Desert Eagle, 9 пат.","Magazynek Desert Eagle, 9-n.","9rd Desert Eagle Mag","Caricatore Desert Eagle 9 clp","Cargador de Desert Eagle de 9 balas","Chargeur 9 balles Desert Eagle","9 發沙漠之鷹彈匣","9rd ディーグルマガジン","9rd Desert Eagle Mag","9 发沙鹰弹匣",
"str_iz_cfgmagazines_mag_Deagle_9rnd1","Detachable box magazine for Desert Eagle pistol. Holds up to 9 rounds of .357.","Detachable box magazine for Desert Eagle pistol. Holds up to 9 rounds of .357.","Odnímatelný schránkový zásobník na pistoli Desert Eagle. Pojme až 9 nábojů ráže .357.","Abnehmbares Kastenmagazin für die Desert Eagle-Pistole. Fasst bis zu 9 Schuss .357-Munition.","Съемный коробчатый магазин для пистолета Desert Eagle. Вмещает до 9 патронов калибра .357.","Zewnętrzny magazynek pudełkowy do pistoletu Desert Eagle. Mieści 9 naboi .357.","Detachable box magazine for Desert Eagle pistol. Holds up to 9 rounds of .357.","Caricatore estraibile per pistola Desert Eagle. Contiene fino a 9 munizioni calibro .357.","Un cargador desmontable para la pistola Desert Eagle. Contiene hasta 9 proyectiles de .357.","Un chargeur amovible pour pistolet Desert Eagle. Contient jusqu'à 9 balles de calibre .357.","可拆卸式盒裝彈匣，適用沙漠之鷹手槍。最多能裝 9 發 .357 子彈。","ディーグルピストルのための取り外し可能な箱弾倉。.357 を最大 9 発装填できる。","Detachable box magazine for Deagle pistol. Holds up to 9 rounds of .357.","沙鹰手枪的可拆卸盒式弹匣。可容纳最多 9 发 .357 子弹。",

"str_iz_cfgmagazines_mag_1911_7rnd0","7rd Colt 1911 Mag","7rd Colt 1911 Mag","Zásobník Colt 1911, 7 ran","7-Schuss-Colt 1911-Magazin","Магазин Colt 1911, 7 пат.","Magazynek Colt 1911, 7-n.","7rd Colt 1911 Mag","Caricatore Colt 1911 7 clp","Cargador Colt 1911, 7 p.","Chargeur 7 balles Colt 1911","7發Colt 1911彈匣","7rd Colt 1911 マガジン","7rd Colt 1911 Mag","7发Colt 1911弹匣",
"str_iz_cfgmagazines_mag_1911_7rnd1","Detachable box magazine for Colt 1911 pistol. Holds up to 7 rounds of .45 ACP.","Detachable box magazine for Colt 1911 pistol. Holds up to 7 rounds of .45 ACP.","Odnímatelný schránkový zásobník na pistoli Colt 1911. Pojme až 7 nábojů ráže .45 ACP.","Abnehmbares Kastenmagazin für die Colt 1911-Pistole. Fasst bis zu 7 Schuss .45 ACP-Munition.","Съемный коробчатый магазин для пистолета Colt 1911. Вмещает до 7 патронов калибра .45 ACP.","Zewnętrzny magazynek pudełkowy do pistoletu Colt 1911. Mieści 7 naboi .45 ACP.","Detachable box magazine for Colt 1911 pistol. Holds up to 7 rounds of .45 ACP.","Caricatore estraibile per pistola Colt 1911. Contiene fino a 7 munizioni calibro .45 ACP.","Un cargador desmontable para la pistola Colt 1911. Contiene hasta 7 proyectiles .45 ACP.","Un chargeur amovible pour pistolet Colt 1911. Contient jusqu'à 7 balles de calibre .45 ACP.","可拆卸式盒裝彈匣，適用 Colt 1911 手槍。最多能裝 7 發 .45 ACP 子彈。","Colt 1911 ピストルのための取り外し可能な箱弾倉。.45 ACP を最大 7 発装填できる。","Detachable box magazine for Colt 1911 pistol. Holds up to 7 rounds of .45 ACP.","Colt 1911手枪的可拆卸盒式弹匣。可容纳最多7发.45 ACP子弹。",

"str_iz_cfgmagazines_mag_cz75_15rnd0","15rd CZ-75 Mag","15rd CZ-75 Mag","Zásobník CZ-75, 15 ran","15-Schuss-CZ-75-Magazin","Магазин для CZ-75 на 15 пат.","Magazynek na 15 naboi CZ-75","15rd CZ-75 Mag","Caricatore CZ-75 15 clp","Cargador CZ-75 de 15 proyectiles","Chargeur 15 balles de CZ-75","15 發 CZ-75 彈匣","15rd CZ-75 マガジン","15rd CZ-75 Mag","15 发子弹 CZ-75 弹匣",
"str_iz_cfgmagazines_mag_cz75_15rnd1","Detachable box magazine for CZ-75 pistol. Holds up to 15 rounds of 9x19mm.","Detachable box magazine for CZ-75 pistol. Holds up to 15 rounds of 9x19mm.","Odnímatelný schránkový zásobník na pistoli CZ-75. Pojme až 15 nábojů ráže 9x19 mm.","Abnehmbares Kastenmagazin für die CZ-75-Pistole. Fasst bis zu 15 Schuss 9x19mm-Munition.","Съемный коробчатый магазин для пистолета CZ-75. Вмещает до 15 патронов калибра 9x19 мм.","Zewnętrzny magazynek pudełkowy do pistoletu CZ-75. Mieści 15 naboi 9x19 mm.","Detachable box magazine for CZ-75 pistol. Holds up to 15 rounds of 9x19mm.","Caricatore estraibile per pistola CZ-75. Contiene fino a 15 munizioni calibro 9x19 mm.","Un cargador desmontable para la pistola CZ-75. Contiene hasta 15 proyectiles de 9x19 mm.","Un chargeur amovible pour pistolet CZ-75. Contient jusqu'à 15 balles de calibre 9x19 mm.","可拆卸式盒裝彈匣，適用 CZ-75 手槍。最多能裝 15 發 9x19mm 子彈。","CZ-75 ピストルのための取り外し可能な箱弾倉。9x19mm を最大 15 発装填できる。","Detachable box magazine for CZ-75 pistol. Holds up to 15 rounds of 9x19mm.","CZ-75 手枪的可拆卸弹匣。可容纳最多 15 发 9x19mm 子弹。",

"str_iz_cfgmagazines_mag_glock_15rnd0","15rd Glock 19 Mag","15rd Glock 19 Mag","Zásobník Glock 19, 15 ran","15-Schuss-Glock 19-Magazin","Магазин для Glock 19 на 15 пат.","Magazynek na 15 naboi Glock 19","15rd Glock 19 Mag","Caricatore Glock 19 15 clp","Cargador Glock 19 de 15 proyectiles","Chargeur 15 balles Glock 19","15 發 Glock 19 彈匣","15rd Glock 19 マガジン","15rd Glock 19 Mag","15 发 Glock 19 弹匣",
"str_iz_cfgmagazines_mag_glock_15rnd1","Detachable box magazine for Glock 19 pistol. Holds up to 15 rounds of 9x19mm.","Detachable box magazine for Glock 19 pistol. Holds up to 15 rounds of 9x19mm.","Odnímatelný schránkový zásobník na pistoli Glock 19. Pojme až 15 nábojů ráže 9x19 mm.","Abnehmbares Kastenmagazin für die Glock 19-Pistole. Fasst bis zu 15 Schuss 9x19mm-Munition.","Съемный коробчатый магазин для пистолета Glock 19. Вмещает до 15 патронов калибра 9x19 мм.","Zewnętrzny magazynek pudełkowy do pistoletu Glock 19. Mieści 15 naboi 9x19 mm.","Detachable box magazine for Glock 19 pistol. Holds up to 15 rounds of 9x19mm.","Caricatore estraibile per pistola Glock 19. Contiene fino a 15 munizioni calibro 9x19 mm.","Un cargador desmontable para la pistola Glock 19. Contiene hasta 15 proyectiles de 9x19 mm.","Un chargeur amovible pour pistolet Glock 19. Contient jusqu'à 15 balles de calibre 9x19 mm.","可拆卸式盒裝彈匣，適用 Glock 19 手槍。最多能裝 15 發 9x19mm 子彈。","Glock 19 ピストルのための取り外し可能な箱弾倉。9x19mm を最大 15 発装填できる。","Detachable box magazine for Glock 19 pistol. Holds up to 15 rounds of 9x19mm.","Glock 19 手枪的可拆卸盒式弹匣。可容纳最多 15 发 9x19 毫米子弹。",

	"str_iz_cfgmagazines_mag_p1_8rnd0","8Rnd P1 Magazine","8Rnd P1 Magazine","8Rnd P1 Magazine","8Rnd P1 Magazine","8Rnd P1 Magazine","8Rnd P1 Magazine","8Rnd P1 Magazine","8Rnd P1 Magazine","8Rnd P1 Magazine","8Rnd P1 Magazine","8Rnd P1 Magazine","8Rnd P1 Magazine","8Rnd P1 Magazine","8Rnd P1 Magazine",
	"str_iz_cfgmagazines_mag_p1_8rnd1","A magazine for eight 9mm rounds.","A magazine for eight 9mm rounds.","A magazine for eight 9mm rounds.","A magazine for eight 9mm rounds.","A magazine for eight 9mm rounds.","A magazine for eight 9mm rounds.","A magazine for eight 9mm rounds.","A magazine for eight 9mm rounds.","A magazine for eight 9mm rounds.","A magazine for eight 9mm rounds.","A magazine for eight 9mm rounds.","A magazine for eight 9mm rounds.","A magazine for eight 9mm rounds.","A magazine for eight 9mm rounds.",

"str_iz_cfgmagazines_mag_ij70_12rnd0","12rd IJ-70 Mag","12rd IJ-70 Mag","Zásobník IJ-70, 12 ran","12-Schuss-IJ-70-Magazin","Магазин для ИЖ-70 на 12 пат.","Magazynek na 12 naboi IJ-70","12rd IJ-70 Mag","Caricatore IJ-70 12 clp","Cargador IJ-70 de 12 proyectiles","Chargeur 12 balles d'IJ-70","12 發 IJ-70 彈匣","12rd IJ-70 マガジン","12rd IJ-70 Mag","12 发子弹 IJ-70 弹匣",
"str_iz_cfgmagazines_mag_ij70_12rnd1","Detachable box magazine for IJ-70 pistol. Holds up to 12 rounds of .380 ACP.","Detachable box magazine for IJ-70 pistol. Holds up to 12 rounds of .380 ACP.","Odnímatelný schránkový zásobník na pistoli IJ-70. Pojme až 12 nábojů ráže .380 ACP.","Abnehmbares Kastenmagazin für die IJ-70-Pistole. Fasst bis zu 12 Schuss .380 ACP-Munition.","Съемный коробчатый магазин для пистолета ИЖ-70. Вмещает до 12 патронов калибра .380 ACP.","Zewnętrzny magazynek pudełkowy do pistoletu IJ-70. Mieści 12 naboi .380 ACP.","Detachable box magazine for IJ-70 pistol. Holds up to 12 rounds of .380 ACP.","Caricatore estraibile per pistola IJ-70. Contiene fino a 12 munizioni calibro .380 ACP.","Un cargador desmontable para la pistola IJ-70. Contiene hasta 12 proyectiles de .380 ACP.","Un chargeur amovible pour pistolet IJ-70. Contient jusqu'à 12 balles de calibre .380 ACP.","可拆卸式盒裝彈匣，適用 IJ-70 手槍。最多能裝 12 發 .380 ACP 子彈。","IJ-70 ピストルのための取り外し可能な箱弾倉。.380 ACP を最大 12 発装填できる。","Detachable box magazine for IJ-70 pistol. Holds up to 12 rounds of .380 ACP.","IJ-70 手枪的可拆卸弹匣。可容纳最多 12 发 .380 ACP 子弹。",

"str_iz_cfgmagazines_mag_mp5_15rnd0","15rd MP5-K Mag","15rd MP5-K Mag","15rd MP5-K Mag","15rd MP5-K Mag","15rd MP5-K Mag","15rd MP5-K Mag","15rd MP5-K Mag","15rd MP5-K Mag","15rd MP5-K Mag","15rd MP5-K Mag","15rd MP5-K Mag","15rd MP5-K Mag","15rd MP5-K Mag","15rd MP5-K Mag",
"str_iz_cfgmagazines_mag_mp5_15rnd1","Detachable box magazine for SG5-K submachine gun. Holds up to 15 rounds of 9x19mm.","Detachable box magazine for SG5-K submachine gun. Holds up to 15 rounds of 9x19mm.","Odnímatelný schránkový zásobník na samopal SG5-K. Pojme až 15 nábojů ráže 9x19 mm.","Abnehmbares Kastenmagazin für die SG5-K-Maschinenpistole. Fasst bis zu 15 Schuss 9x19mm-Munition.","Съемный коробчатый магазин для пистолета-пулемета SG5-K. Вмещает до 15 патронов калибра 9x19 мм.","Zewnętrzny magazynek pudełkowy do pistoletu maszynowego SG5-K. Mieści 15 naboi 9x19 mm.","Detachable box magazine for SG5-K submachine gun. Holds up to 15 rounds of 9x19mm.","Caricatore estraibile per mitra SG5-K. Contiene fino a 15 munizioni calibro 9x19 mm.","Un cargador desmontable para la metralleta SG5-K. Contiene hasta 15 proyectiles de 9x19 mm.","Un chargeur amovible pour pistolet mitrailleur SG5-K. Contient jusqu'à 15 balles de calibre 9x19 mm.","可拆卸式盒裝彈匣，適用 SG5-K 機關槍。最多能裝 15 發 9x19mm 子彈。","SG5-K 短機関銃のための取り外し可能な箱弾倉。9x19mm を最大 15 発装填できる。","Detachable box magazine for SG5-K submachine gun. Holds up to 15 rounds of 9x19mm.","SG5-K冲锋枪的可拆卸盒式弹匣。可容纳最多15发9x19毫米子弹。",

"str_iz_cfgmagazines_mag_mp5_30rnd0","30rd MP5-K Mag","30rd MP5-K Mag","Zásobník MP5-K, 30 ran","30-Schuss MP5-K-Magazin","Магазин для MP5-K на 30 пат.","Magazynek na 30 naboi MP5-K","30rd MP5-K Mag","Caricatore MP5-K 30 clp","Cargador MP5-K de 30 proyectiles","Chargeur 35 balles de MP5-K","30 發 MP5-K 彈匣","30rd MP5-K マガジン","30rd MP5-K Mag","30 发子弹 MP5-K 弹匣",
"str_iz_cfgmagazines_mag_mp5_30rnd1","Detachable box magazine for MP5-K submachine gun. Holds up to 30 rounds of 9x19mm.","Detachable box magazine for MP5-K submachine gun. Holds up to 30 rounds of 9x19mm.","Odnímatelný schránkový zásobník na samopal MP5-K. Pojme až 30 nábojů ráže 9x19 mm.","Abnehmbares Kastenmagazin für die MP5-K-Maschinenpistole. Fasst bis zu 30 Schuss 9x19mm-Munition.","Съемный коробчатый магазин для пистолета-пулемета MP5-K. Вмещает до 30 патронов калибра 9x19 мм.","Zewnętrzny magazynek pudełkowy do pistoletu maszynowego MP5-K. Mieści 30 naboi 9x19 mm.","Detachable box magazine for MP5-K submachine gun. Holds up to 30 rounds of 9x19mm.","Caricatore estraibile per mitra MP5-K. Contiene fino a 30 munizioni calibro 9x19 mm.","Un cargador desmontable para la metralleta MP5-K. Contiene hasta 30 proyectiles de 9x19 mm.","Un chargeur amovible pour pistolet mitrailleur MP5-K. Contient jusqu'à 30 balles de calibre 9x19 mm.","可拆卸式盒裝彈匣，適用 MP5-K 機關槍。最多能裝 30 發 9x19mm 子彈。","MP5-K 短機関銃のための取り外し可能な箱弾倉。9x19mm を最大 30 発装填できる。","Detachable box magazine for MP5-K submachine gun. Holds up to 30 rounds of 9x19mm.","MP5-K 冲锋枪的可拆卸弹匣。可容纳最多 30 发 9x19mm 子弹。",

	"str_iz_cfgmagazines_mag_pm73_15rnd0","15rnd PM73 mag","15rnd PM73 mag","15rnd PM73 mag","15rnd PM73 mag","15rnd PM73 mag","15rnd PM73 mag","15rnd PM73 mag","15rnd PM73 mag","15rnd PM73 mag","15rnd PM73 mag","15rnd PM73 mag","15rnd PM73 mag","15rnd PM73 mag","15rnd PM73 mag",
	"str_iz_cfgmagazines_mag_pm73_15rnd1","Magazine for PM73 RAK submachinegun. Holds 15 rounds.","Magazine for PM73 RAK submachinegun. Holds 15 rounds.","Magazine for PM73 RAK submachinegun. Holds 15 rounds.","Magazine for PM73 RAK submachinegun. Holds 15 rounds.","Magazine for PM73 RAK submachinegun. Holds 15 rounds.","Magazine for PM73 RAK submachinegun. Holds 15 rounds.","Magazine for PM73 RAK submachinegun. Holds 15 rounds.","Magazine for PM73 RAK submachinegun. Holds 15 rounds.","Magazine for PM73 RAK submachinegun. Holds 15 rounds.","Magazine for PM73 RAK submachinegun. Holds 15 rounds.","Magazine for PM73 RAK submachinegun. Holds 15 rounds.","Magazine for PM73 RAK submachinegun. Holds 15 rounds.","Magazine for PM73 RAK submachinegun. Holds 15 rounds.","Magazine for PM73 RAK submachinegun. Holds 15 rounds.",

	"str_iz_cfgmagazines_mag_pm73_25rnd0","25rnd PM73 mag","25rnd PM73 mag","25rnd PM73 mag","25rnd PM73 mag","25rnd PM73 mag","25rnd PM73 mag","25rnd PM73 mag","25rnd PM73 mag","25rnd PM73 mag","25rnd PM73 mag","25rnd PM73 mag","25rnd PM73 mag","25rnd PM73 mag","25rnd PM73 mag",
	"str_iz_cfgmagazines_mag_pm73_25rnd1","Magazine for PM73 RAK submachinegun. Holds 25 rounds.","Magazine for PM73 RAK submachinegun. Holds 25 rounds.","Magazine for PM73 RAK submachinegun. Holds 25 rounds.","Magazine for PM73 RAK submachinegun. Holds 25 rounds.","Magazine for PM73 RAK submachinegun. Holds 25 rounds.","Magazine for PM73 RAK submachinegun. Holds 25 rounds.","Magazine for PM73 RAK submachinegun. Holds 25 rounds.","Magazine for PM73 RAK submachinegun. Holds 25 rounds.","Magazine for PM73 RAK submachinegun. Holds 25 rounds.","Magazine for PM73 RAK submachinegun. Holds 25 rounds.","Magazine for PM73 RAK submachinegun. Holds 25 rounds.","Magazine for PM73 RAK submachinegun. Holds 25 rounds.","Magazine for PM73 RAK submachinegun. Holds 25 rounds.","Magazine for PM73 RAK submachinegun. Holds 25 rounds.",

"str_iz_cfgmagazines_mag_cz61_20rnd0","20rd CZ-61 Mag","20rd CZ-61 Mag","Zásobník CZ-61, 20 ran","20-Schuss-CZ-61-Magazin","Магазин для CZ-61 на 20 пат.","Magazynek na 20 naboi CZ-61","20rd CZ-61 Mag","Caricatore CZ-61 20 clp","Cargador CZ-61 de 20 proyectiles","Chargeur 20 balles de CZ-61","20 發 CZ-61 彈匣","20rd CZ-61 マガジン","20rd CZ-61 Mag","20 发子弹 CZ-61 弹匣",
"str_iz_cfgmagazines_mag_cz61_20rnd1","Detachable box magazine for Skorpion submachine gun. Holds up to 20 rounds of .380 ACP.","Detachable box magazine for Skorpion submachine gun. Holds up to 20 rounds of .380 ACP.","Odnímatelný schránkový zásobník na samopal Skorpion. Pojme až 20 nábojů ráže .380 ACP.","Abnehmbares Kastenmagazin für die Skorpion-Maschinenpistole. Fasst bis zu 20 Schuss .380 ACP-Munition.","Съемный коробчатый магазин для пистолета-пулемета Skorpion. Вмещает до 20 патронов калибра .380 ACP.","Zewnętrzny magazynek pudełkowy do pistoletu maszynowego Skorpion. Mieści 20 naboi .380 ACP.","Detachable box magazine for Skorpion submachine gun. Holds up to 20 rounds of .380 ACP.","Caricatore estraibile per mitra Skorpion. Contiene fino a 20 munizioni calibro .380 ACP.","Un cargador desmontable para la metralleta Skorpion. Contiene hasta 20 proyectiles de .380 ACP.","Un chargeur amovible pour pistolet mitrailleur Skorpion. Contient jusqu'à 20 balles de calibre .380 ACP.","可拆卸式盒裝彈匣，適用 Skorpion 機關槍。最多能裝 20 發 .380 ACP 子彈。","スコーピオンの短機関銃のための取り外し可能な箱弾倉。.380 ACP を最大 20 発装填できる。","Detachable box magazine for Skorpion submachine gun. Holds up to 20 rounds of .380 ACP.","Skorpion 冲锋枪的可拆卸弹匣。可容纳最多 20 发 .380 ACP 子弹。",

"str_iz_cfgmagazines_mag_mkii_10rnd0","10rd Ruger MK II Mag","10rd Ruger MK II Mag","Zásobník Ruger MK II, 10 ran","10-Schuss-Ruger MK II-Magazin","Магазин для Ruger MK II на 10 пат.","Magazynek na 10 naboi Ruger MK II","10rd Ruger MK II Mag","Caricatore Ruger MK II 10 clp","Cargador Ruger MK II de 10 proyectiles","Chargeur 10 balles de MK II","10 發 Ruger MK II 彈匣","10rd Ruger MK II マガジン","10rd Ruger MK II Mag","10 发 Ruger MK II 弹匣",
"str_iz_cfgmagazines_mag_mkii_10rnd1","Detachable box magazine for Ruger MK II pistol. Holds up to 10 rounds of .22 LR.","Detachable box magazine for Ruger MK II pistol. Holds up to 10 rounds of .22 LR.","Odnímatelný schránkový zásobník na pistoli Ruger MK II. Pojme až 10 nábojů ráže .22 LR.","Abnehmbares Kastenmagazin für die Ruger MK II-Pistole. Fasst bis zu 10 Schuss .22 LR-Munition.","Съемный коробчатый магазин для пистолета Ruger MK II. Вмещает до 10 патронов калибра 22 LR.","Zewnętrzny magazynek pudełkowy do pistoletu Ruger MK II. Mieści 10 naboi .22 LR.","Detachable box magazine for Ruger MK II pistol. Holds up to 10 rounds of .22 LR.","Caricatore estraibile per pistola Ruger MK II. Contiene fino a 10 munizioni calibro .22 LR.","Un cargador desmontable para la pistola Ruger MK II. Contiene hasta 10 proyectiles de .22 LR.","Un chargeur amovible pour pistolet MK II. Contient jusqu'à 10 balles de calibre .22 LR.","可拆卸式盒裝彈匣，適用 Ruger MK II 手槍。最多能裝 10 發 22 LR 子彈。","Ruger MK II ピストルのための取り外し可能な箱弾倉。.22 LR を最大 12 発装填できる。","Detachable box magazine for Ruger MK II pistol. Holds up to 10 rounds of .22 LR.","Ruger MK II 手枪的可拆卸盒式弹匣。可容纳最多 10 发 .22 LR 子弹。",

	"str_iz_cfgmagazines_mag_shockcartridge0","Shock Pistol Cartridge","Shock Pistol Cartridge","Shock Pistol Cartridge","Shock Pistol Cartridge","Shock Pistol Cartridge","Shock Pistol Cartridge","Shock Pistol Cartridge","Shock Pistol Cartridge","Shock Pistol Cartridge","Shock Pistol Cartridge","Shock Pistol Cartridge","Shock Pistol Cartridge","Shock Pistol Cartridge","Shock Pistol Cartridge",
	"str_iz_cfgmagazines_mag_shockcartridge1","Cartridge for shock pistol.","Cartridge for shock pistol.","Cartridge for shock pistol.","Cartridge for shock pistol.","Cartridge for shock pistol.","Cartridge for shock pistol.","Cartridge for shock pistol.","Cartridge for shock pistol.","Cartridge for shock pistol.","Cartridge for shock pistol.","Cartridge for shock pistol.","Cartridge for shock pistol.","Cartridge for shock pistol.","Cartridge for shock pistol.",

"str_iz_cfgmagazines_mag_ruger1022_10rnd0","10rd Ruger 22 Mag","10rd Ruger 22 Mag","Zásobník Ruger 22, 10 ran","10-Schuss-Ruger 22-Magazin","Магазин Ruger 22, 10 пат.","Magazynek Ruger 22, 10-n.","10rd Ruger 22 Mag","Caricatore Ruger 22 10 clp","Cargador Ruger 22, 10 p.","Chargeur 10 balles Ruger 22","10 發 Ruger 22 彈匣","10rd スポーター 22 マガジン","10rd Ruger 22 Mag","10 发 Ruger 22 弹匣",
"str_iz_cfgmagazines_mag_ruger1022_10rnd1","Detachable box magazine for Ruger 22 rifle. Holds up to 10 rounds of .22 LR.","Detachable box magazine for Ruger 22 rifle. Holds up to 10 rounds of .22 LR.","Odnímatelný schránkový zásobník na pušku Ruger 22. Pojme až 10 nábojů ráže .22 LR.","Abnehmbares Kastenmagazin für das Ruger 22-Gewehr. Fasst bis zu 10 Schuss .22 LR-Munition.","Съемный коробчатый магазин для винтовки Ruger 22. Вмещает до 10 патронов калибра .22 LR.","Zewnętrzny magazynek pudełkowy do karabinu Ruger 22. Mieści 10 naboi .22 LR.","Detachable box magazine for Ruger 22 rifle. Holds up to 10 rounds of .22 LR.","Caricatore estraibile per fucile Ruger 22. Contiene fino a 10 munizioni calibro .22 LR.","Un cargador desmontable para el fusil Ruger 22. Contiene hasta 10 proyectiles de .22 LR.","Un chargeur amovible pour le fusil Ruger 22. Contient jusqu'à 10 balles de calibre .22 LR.","可拆卸式盒裝彈匣，適用 Ruger 22 步槍。最多能裝 10 發 .22 LR 子彈。","スポーター 22 ライフルのための取り外し可能な箱弾倉。.22 LR を最大 10 発装填できる。","Detachable box magazine for Ruger 22 rifle. Holds up to 10 rounds of .22 LR.","Ruger 22 步枪的可拆卸盒式弹匣。可容纳最多 10 发 .22 LR 子弹。",

"str_iz_cfgmagazines_mag_ruger1022_30rnd0","30rd Ruger 22 Mag","30rd Ruger 22 Mag","Zásobník Ruger 22, 30 ran","30-Schuss-Ruger 22-Magazin","Магазин Ruger 22, 30 пат.","Magazynek Ruger 22, 30-n.","30rd Ruger 22 Mag","Caricatore Ruger 22 30 clp","Cargador Ruger 22, 30 p.","Chargeur 30 balles Ruger 22","30 發 Ruger 22 彈匣","30rd スポーター 22 マガジン","30rd Ruger 22 Mag","30 发 Ruger 22 弹匣",
